NO DE PLACA;MARCA;ANO MODELO;LINEA;CLASE DE VEHICULO;TIPO DE CARROCERIA;COMBUSTIBLE;MODALIDAD DE SERVICIO;CAPACIDAD DE PASAJEROS SENTADOS;EMPRESA
TNF729;DAIHATSU;2009;DELTA V128LD;MICROBUS;CERRADA;DIESEL;COLECTIVO;19;EXPRESOFUSACATAN
TNF774;DAIHATSU;2009;DELTA V128LD;MICROBUS;CERRADA;DIESEL;COLECTIVO;19;EXPRESOFUSACATAN
TRF741;DAIHATSU;2009;DELTA V128LD-JUTXB;MICROBUS;CERRADA;DIESEL;COLECTIVO;19;EXPRESOFUSACATAN
TSI291;DAIHATSU;2009;DELTA V128LD;MICROBUS;CERRADA;DIESEL;COLECTIVO;19;EXPRESOFUSACATAN
UPQ924;CHEVROLET;2007;NKR;MICROBUS;CERRADA;DIESEL;COLECTIVO;17;EXPRESOFUSACATAN
UPT351;NISSAN;2008;URVAN;MICROBUS;CERRADA;DIESEL;COLECTIVO;14;EXPRESOFUSACATAN
UQY102;NISSAN;2003;CABSTAR TL 1.35;MICROBUS;CERRADA;DIESEL;COLECTIVO;19;EXPRESOFUSACATAN
UTX819;CHEVROLET;2005;NKR;MICROBUS;CERRADA;DIESEL;COLECTIVO;17;EXPRESOFUSACATAN
UYS386;CHEVROLET;2006;NKR 55;MICROBUS;CERRADA;DIESEL;COLECTIVO;19;EXPRESOFUSACATAN
VCC852;CHEVROLET;2003;NKR MWB;MICROBUS;CERRADA;DIESEL;COLECTIVO;19;EXPRESOFUSACATAN
VMB621;CHEVROLET;2008;NKR 55;MICROBUS;CERRADA;DIESEL;COLECTIVO;19;EXPRESOFUSACATAN
VXI766;CHEVROLET;2007;NKR 55;MICROBUS;CERRADA;DIESEL;COLECTIVO;19;EXPRESOFUSACATAN
WRD198;CHEVROLET;2004;NKR 55;MICROBUS;CERRADA;DIESEL;COLECTIVO;19;EXPRESOFUSACATAN
